bin_lo,bin_hi,n,mean_p,obs_t1_winrate,abs_gap
0.0,0.1,113,0.08161543188339604,0.07964601769911504,0.001969414184280996
0.1,0.2,270,0.14470862243714797,0.15555555555555556,0.010846933118407592
0.2,0.3,215,0.24952021221703907,0.21395348837209302,0.03556672384494605
0.3,0.4,190,0.34949991304002787,0.4421052631578947,0.09260535011786686
0.4,0.5,183,0.44581061322878557,0.41530054644808745,0.03051006678069812
0.5,0.6,216,0.5505766297861726,0.5694444444444444,0.01886781465827181
0.6,0.7,222,0.6539580136870984,0.6666666666666666,0.012708652979568247
0.7,0.8,239,0.7531947834563202,0.7573221757322176,0.0041273922758974235
0.8,0.9,212,0.8506810585464808,0.9009433962264151,0.050262337679934266
0.9,1.001,78,0.9131967422878028,0.9871794871794872,0.07398274489168444
