bin_lo,bin_hi,n,mean_p,obs_t1_winrate,abs_gap
0.0,0.1,5,0.09010029832752862,0.0,0.09010029832752862
0.1,0.2,43,0.15592791448684185,0.13953488372093023,0.016393030765911615
0.2,0.3,49,0.24294586095290155,0.24489795918367346,0.0019520982307719148
0.3,0.4,53,0.34802108825754124,0.32075471698113206,0.027266371276409185
0.4,0.5,53,0.45013038551495327,0.39622641509433965,0.05390397042061362
0.5,0.6,69,0.5476022765823835,0.43478260869565216,0.11281966788673131
0.6,0.7,67,0.6541168529372721,0.5522388059701493,0.10187804696712277
0.7,0.8,62,0.7461528170041875,0.7741935483870968,0.0280407313829093
0.8,0.9,43,0.8365036728263867,0.9069767441860465,0.07047307135965974
0.9,1.001,0,,,
