bin_lo,bin_hi,n,mean_p,obs_t1_winrate,abs_gap
0.0,0.1,100,0.0787505791831713,0.05,0.028750579183171296
0.1,0.2,194,0.14843007028378477,0.17525773195876287,0.026827661674978104
0.2,0.3,144,0.24977170895939663,0.25,0.00022829104060337335
0.3,0.4,107,0.3437354024030903,0.32710280373831774,0.01663259866477257
0.4,0.5,124,0.4481102137285868,0.4112903225806452,0.0368198911479416
0.5,0.6,146,0.5520650981693884,0.5205479452054794,0.031517152963909
0.6,0.7,159,0.6532426509616956,0.6729559748427673,0.01971332388107161
0.7,0.8,173,0.7517096902657775,0.791907514450867,0.04019782418508955
0.8,0.9,173,0.8540982070412809,0.9132947976878613,0.05919659064658034
0.9,1.001,65,0.9171874429976954,0.9846153846153847,0.06742794161768928
