match_id,start_date,format,competition,tier,year,team_home,team_away,venue,winner,y_t1_wins,pred_p_t1,pred,correct,confidence,brier,elo_diff_pre,h2h_t1_winpct,h2h_n_prior
1083619598612212287,2023-10-01,ODI,New Zealand Women tour of South Africa,tier2_assoc,2023,South Africa,New Zealand,"Kingsmead, Durban",New Zealand,0,0.6517963897703176,1,0,0.30359277954063524,0.4248385337176198,189.43596683204441,0.6097560975609756,41
1125441218728361919,2023-10-05,ODI,ICC Cricket World Cup,tier1,2023,England,New Zealand,"Narendra Modi Stadium, Ahmedabad",New Zealand,0,0.5559670511521785,1,0,0.11193410230435696,0.30909936196684906,175.4452169426163,0.5740740740740741,54
659429794884601572,2023-10-06,ODI,ICC Cricket World Cup,tier1,2023,Pakistan,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,1,0.8525003175035932,1,1,0.7050006350071865,0.021756156336540804,337.06564701255434,1.0,5
2864283196634683689,2023-10-07,ODI,ICC Cricket World Cup,tier1,2023,South Africa,Sri Lanka,"Arun Jaitley Stadium, Delhi",South Africa,1,0.8065534903928342,1,1,0.6131069807856684,0.03742155207919529,172.27053225444888,0.6666666666666666,51
6673603934749429119,2023-10-08,ODI,ICC Cricket World Cup,tier1,2023,Australia,India,"MA Chidambaram Stadium, Chepauk, Chennai",India,0,0.37474786928982756,0,1,0.2505042614203449,0.14043596553726567,-26.201887931258852,0.5853658536585366,82
8266805334657841821,2023-10-08,ODI,West Indies Women tour of Australia,tier2_assoc,2023,West Indies,Australia,"Allan Border Field, Brisbane",Australia,0,0.07877506968567938,0,1,0.8424498606286412,0.006205511603983642,-282.714969913397,0.17391304347826086,46
2751217996653436154,2023-10-09,ODI,ICC Cricket World Cup,tier1,2023,New Zealand,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",New Zealand,1,0.8556789746690049,1,1,0.7113579493380098,0.020828558352589732,377.04072325647394,1.0,3
5124902166001314592,2023-10-10,ODI,ICC Cricket World Cup,tier1,2023,England,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",England,1,0.8602578045015032,1,1,0.7205156090030065,0.01952788120274009,261.45260125554,0.782608695652174,23
501609099582453393,2023-10-10,ODI,ICC Cricket World Cup,tier1,2023,Sri Lanka,Pakistan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,0,0.19397261901128665,0,1,0.6120547619774267,0.03762537692609776,-38.70530876401904,0.4032258064516129,62
3500808219759049626,2023-10-12,ODI,ICC Cricket World Cup,tier1,2023,South Africa,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",South Africa,1,0.554924286128212,1,1,0.10984857225642397,0.19809239107848173,8.26013110759186,0.5357142857142857,56
900300171110007743,2023-10-13,ODI,ICC Cricket World Cup,tier1,2023,Bangladesh,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",New Zealand,0,0.20613908913096496,0,1,0.5877218217380701,0.042493324067743914,-150.70585294930288,0.2647058823529412,34
6760453411622868707,2023-10-14,ODI,ICC Cricket World Cup,tier1,2023,Pakistan,India,"Narendra Modi Stadium, Ahmedabad",India,0,0.2655104722106972,0,1,0.46897905557860564,0.0704958108535474,-186.0762605233465,0.391304347826087,46
8836509243616663219,2023-10-14,ODI,West Indies Women tour of Australia,tier2_assoc,2023,West Indies,Australia,"Junction Oval, Melbourne",Australia,0,0.08226841234001024,0,1,0.8354631753199795,0.006768091668945949,-269.7835780167079,0.1702127659574468,47
6720328869336705711,2023-10-16,ODI,ICC Cricket World Cup,tier1,2023,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Australia,0,0.15144022224720785,0,1,0.6971195555055842,0.022934140914283706,-184.88718564314468,0.3389830508474576,59
6593985969400855551,2023-10-17,ODI,Ireland Women v Scotland Women,tier2_assoc,2023,Scotland,Ireland,"Desert Springs Cricket Ground, Almeria",Scotland,1,0.6602476535447213,1,1,0.3204953070894425,0.11543165692186776,149.0268465994368,0.18181818181818182,11
2094875810074745792,2023-10-17,ODI,ICC Cricket World Cup,tier1,2023,Netherlands,South Africa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Netherlands,1,0.1194526218942579,0,0,0.7610947562114843,0.7753636850888967,-535.501071703984,0.0,5
1699702419543138195,2023-10-19,ODI,ICC Cricket World Cup,tier1,2023,Bangladesh,India,"Maharashtra Cricket Association Stadium, Pune",India,0,0.09083440674099368,0,1,0.8183311865180126,0.008250889447988278,-335.2411947756443,0.25806451612903225,31
7306489442659456272,2023-10-19,ODI,Ireland Women v Scotland Women,tier2_assoc,2023,Ireland,Scotland,"Desert Springs Cricket Ground, Almeria",Ireland,1,0.3723093296111589,0,0,0.25538134077768215,0.3939955776931927,-171.16318666238203,0.75,12
5147346459384621730,2023-10-20,ODI,ICC Cricket World Cup,tier1,2023,Australia,Pakistan,"M Chinnaswamy Stadium, Bengaluru",Australia,1,0.6142972553063354,1,1,0.22859451061267078,0.14876660726422622,134.40604777750468,0.8333333333333334,48
3370117253621787327,2023-10-21,ODI,ICC Cricket World Cup,tier1,2023,South Africa,England,"Wankhede Stadium, Mumbai",South Africa,1,0.6381281671428045,1,1,0.27625633428560903,0.13095122341542603,-14.709047619242028,0.3584905660377358,53
