variant,tier,config,n,acc,logloss,brier,auc,ece
raw,ALL,raw,1562,0.7592829705505761,0.5040353875608152,0.16644204431095438,0.8341231061848233,0.028692139369423275
raw,tier1,raw@tier1,468,0.7606837606837606,0.5097702000833924,0.16773875196963084,0.8355885214900766,0.056003036675213676
raw,tier2_other,raw@tier2_other,364,0.7252747252747253,0.5359711765786672,0.17986815720733718,0.8079884068472059,0.04456341151665563
raw,tier2_assoc,raw@tier2_assoc,708,0.7824858757062146,0.47493475122687184,0.15482642089127605,0.8562098844672658,0.05312638345766759
raw,tier2_main,raw@tier2_main,22,0.5454545454545454,0.7901595267138908,0.29052827624678995,0.525,0.20336181619347998
global_iso,ALL,global_iso,1562,0.7592829705505761,0.5273283187562678,0.17033029206132957,0.8322071555060011,0.05523403414412077
global_iso,tier1,global_iso@tier1,468,0.75,0.5290361149139302,0.1768343407865186,0.8284833018157783,0.07891082930265182
global_iso,tier2_other,global_iso@tier2_other,364,0.7335164835164835,0.5351964590428039,0.17999999587692828,0.8101923134981734,0.04680464969167549
global_iso,tier2_assoc,global_iso@tier2_assoc,708,0.786723163841808,0.5143908231759666,0.15749088162895344,0.8548940949935815,0.06598485425042101
global_iso,tier2_main,global_iso@tier2_main,22,0.5,0.7771690098821001,0.2851773645093247,0.5291666666666667,0.19627224083510825
per_tier_iso,ALL,per_tier_iso,1562,0.7528809218950064,0.6176735889880884,0.1744144475145504,0.8232234210008524,0.05155765483287762
per_tier_iso,tier1,per_tier_iso@tier1,468,0.7478632478632479,0.5277197552985138,0.17557127988290291,0.8252336277011769,0.05173006816633973
per_tier_iso,tier2_other,per_tier_iso@tier2_other,364,0.7362637362637363,0.5954860068870217,0.18857397269330697,0.7944479666696856,0.0720767200300696
per_tier_iso,tier2_assoc,per_tier_iso@tier2_assoc,708,0.7725988700564972,0.6837156285859805,0.16277500795905345,0.8537106867779203,0.0753924119805765
per_tier_iso,tier2_main,per_tier_iso@tier2_main,22,0.5,0.7729876806336268,0.29010801532525476,0.5375,0.2393890915691611
